"","CourseTitle","Term","Faculty","CourseSection","Phase","Area","Campus","Meeting Pattern","Bids","Closing Cost","Seats Available","Total seats","Enrolled","Program","WaitList","OpenSeats","Class","InstructorOverall","Learning","Difficulty","Global","Examples","Workload","Total Responses","Number of enrollees","year","quarter","phase","course","credit","eff"
"83","Creative on Demand: Brand Management 24/7","Fall 2015","Johnston, Melanie","MKTG-926-5 (81)","Fall 2015 Bidding Phase I","MKTG","Evanston","Thu 6:30 PM - 9:30 PM",9,1250,5,5,5,"Evening",4,0,2.8,2.8,2.9,2.5,2.9,4.1,1.6,17,23,2015,"Fall","I","MKTG-926",0.5,446.428571428571
"84","Customer Analytics","Spring 2018","McShane, Blake","MKTG-482-0 (61)","Spring 2018 Bidding Phase II","MKTG","Evanston","Tue/Fri 8:30 AM - 10:00 AM",16,1239,2,65,2,"Full-Time",14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-482",1,NA
"85","Personal Leadership Insights","Spring 2017","Corona, Paul","KACI-461-5 (71)","Spring 2017 Bidding Phase I","KACI","Chicago","Tue 6:00 PM - 9:00 PM",25,1232,10,10,10,"Evening",15,0,5.6,6,5.8,5.9,5,5.7,2.8,10,10,2017,"Spring","I","KACI-461",0.5,220
"86","Healthcare Economics","Spring 2017","Dranove, David","STRT-444-0 (81)","Spring 2017 Bidding Phase II","STRT","Evanston","Mon 6:30 PM - 9:30 PM",28,1229,3,55,3,"Full-Time",25,0,5,5.2,5.5,5.4,4.8,5.6,2.9,42,57,2017,"Spring","II","STRT-444",1,245.8
"87","Personal Leadership Insights","Spring 2018","Murnane, Kevin","KACI-461-5 (91)","Spring 2018 Bidding Phase II","KACI","Evanston","Tue 6:30 PM - 8:00 PM",33,1228,6,12,6,"Full-Time",27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","KACI-461",0.5,NA
"88","Biomedical Marketing","Spring 2016","Calkins, Timothy","HEMA-914-0 (61)","Spring 2016 Bidding Phase II","HEMA","Evanston","Tue/Fri 10:30 AM - 12:00 PM",14,1220,4,50,4,"Full-Time",10,0,5.3,5.6,5.5,5.4,4.9,5.5,2.9,17,50,2016,"Spring","II","HEMA-914",1,230.188679245283
"89","Retail Analytics","Spring 2017","Gordon, Brett","MKTG-462-0 (62)","Spring 2017 Bidding Phase II","MKTG","Evanston","Mon/Thu 3:30 PM - 5:00 PM",47,1212,4,65,4,"Full-Time",43,0,4.7,5.2,5.3,5.2,5.2,5.5,3.6,46,56,2017,"Spring","II","MKTG-462",1,257.872340425532
"90","Personal Leadership Insights","Fall 2017","Corona, Paul","KACI-461-5 (64)","Fall 2017 Bidding Phase I","KACI","Evanston","Tue 10:30 AM - 12:00 PM",66,1205,10,10,10,"Full-Time",56,0,5.9,6,5.9,5.6,5.4,5.5,2.6,10,10,2017,"Fall","I","KACI-461",0.5,204.237288135593
"91","Advertising Strategy","Spring 2017","Rucker, Derek","MKTG-454-0 (62)","Spring 2017 Bidding Phase II","MKTG","Evanston","Mon/Thu 3:30 PM - 5:00 PM",29,1203,1,65,1,"Full-Time",28,0,5.5,5.5,5.6,5.2,5.2,5.6,2.9,51,60,2017,"Spring","II","MKTG-454",1,218.727272727273
"92","New Venture Discovery","Fall 2017","Schonthal, David","KIEI-462-0 (80)","Fall 2017 Bidding Phase I","KIEI","Evanston","Tue 1:30 PM - 4:30 PM",36,1201,24,28,24,"Full-Time",12,0,4.8,5.3,5.3,5.1,4.3,5.4,3.5,28,32,2017,"Fall","I","KIEI-462",1,250.208333333333
"93","Marketing Strategy","Winter 2018","Hennessy, Julie","MKTG-466-0 (80)","Winter 2018 Bidding Phase II","MKTG","Evanston","Thu 6:30 PM - 9:30 PM",16,1201,3,57,3,"Full-Time",13,0,5.1,5.4,5,5.1,4.9,5.3,3.5,61,66,2018,"Winter","II","MKTG-466",1,235.490196078431
"94","Managerial Leadership","Spring 2017","Kraemer, Harry","KACI-468-0 (70)","Spring 2017 Bidding Phase I","KACI","Chicago","Wed 6:00 PM - 9:00 PM",102,1200,90,90,90,"Evening",12,0,5,5.4,5.2,4.4,4.8,5.4,2.1,77,100,2017,"Spring","I","KACI-468",1,240
"95","Personal Leadership Insights","Fall 2016","Corona, Paul","KACI-461-5 (63)","Fall 2016 Bidding Phase I","KACI","Evanston","Thu 10:30 AM - 12:00 PM",67,1200,10,10,10,"Full-Time",57,0,5.6,5.6,5.7,5.7,5.5,5.4,2.5,10,10,2016,"Fall","I","KACI-461",0.5,214.285714285714
"96","Personal Leadership Insights","Winter 2017","Corona, Paul","KACI-461-5 (65)","Winter 2017 Bidding Phase II","KACI","Evanston","Mon 10:30 AM - 12:00 PM",9,1200,2,10,2,"Full-Time",7,0,5,4.8,5.3,5,4.8,4.7,2.2,6,8,2017,"Winter","II","KACI-461",0.5,240
"97","eCommerce and Digital Marketing","Spring 2016","Chernoff, Josh","MKTG-957-0 (70)","Spring 2016 Bidding Phase I","MKTG","Chicago","Thu 6:00 PM - 9:00 PM",8,1200,3,3,3,"Weekend",5,0,4.3,4.5,4.6,4.7,4.2,5.1,3.4,22,36,2016,"Spring","I","MKTG-957",1,279.06976744186
"98","Corporate Innovation and New Ventures","Fall 2015","DeBiase, Dean","KIEI-903-0 (31)","Fall 2015 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",27,1200,2,5,2,"Full-Time",25,0,4.2,3.7,4.1,4.6,3.8,4.7,3.4,19,30,2015,"Fall","I","KIEI-903",1,285.714285714286
"99","Corporate Innovation and New Ventures","Fall 2015","Earle, Jr., Paul","KIEI-903-0 (31)","Fall 2015 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",27,1200,2,5,2,"Full-Time",25,0,4.1,3.9,3.9,4.3,3.7,4.3,3.3,15,30,2015,"Fall","I","KIEI-903",1,292.682926829268
"100","Power In Organizations: Sources, Strategies and Skills","Spring 2018","Weber, Klaus","MORS-453-0 (61)","Spring 2018 Bidding Phase II","MORS","Evanston","Tue/Fri 10:30 AM - 12:00 PM",20,1191,1,65,1,"Full-Time",19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MORS-453",1,NA
"101","Financial Decisions","Fall 2017","Raviv, Artur","FINC-442-0 (81)","Fall 2017 Bidding Phase II","FINC","Evanston","Mon 6:30 PM - 9:30 PM",11,1178,1,42,1,"Full-Time",10,0,5.1,5.1,5.5,5.5,4.6,5,4.4,34,38,2017,"Fall","II","FINC-442",1,230.980392156863
"102","Personal Leadership Insights","Spring 2017","Vuckovic, Brooke","KACI-461-5 (65)","Spring 2017 Bidding Phase I","KACI","Evanston","Tue 10:30 AM - 12:00 PM",35,1175,10,10,10,"Full-Time",25,0,5.6,6,5.7,5.2,5.4,5.4,2.7,9,10,2017,"Spring","I","KACI-461",0.5,209.821428571429
"103","Strategy Implementation","Fall 2016","Smith, Edward (Ned)","MORS-455-0 (70)","Fall 2016 Bidding Phase I","MORS","Chicago","Non-Standard Meetings",6,1125,3,3,3,"Weekend",3,0,5.1,5.3,5.2,4.9,4.7,5.2,2.2,39,49,2016,"Fall","I","MORS-455",1,220.588235294118
"104","Personal Leadership Insights","Spring 2017","Carroll, Shana","KACI-461-5 (66)","Spring 2017 Bidding Phase II","KACI","Evanston","Mon 1:30 PM - 3:00 PM",27,1114,8,10,8,"Full-Time",19,0,4.6,4.9,5,4.6,4.7,4.9,2.1,10,10,2017,"Spring","II","KACI-461",0.5,242.173913043478
"105","Negotiations Fundamentals","Spring 2018","Finkel, Eli","MORS-472-5 (80)","Spring 2018 Bidding Phase I","MORS","Evanston","Fri 1:30 PM - 4:30 PM",106,1113,30,31,30,"Full-Time",76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MORS-472",0.5,NA
"106","Financial Decisions","Fall 2016","Raviv, Artur","FINC-442-0 (81)","Fall 2016 Bidding Phase II","FINC","Evanston","Mon 6:30 PM - 9:30 PM",17,1111,1,40,1,"Full-Time",16,0,5.2,5.4,5.5,5.7,4.4,5,4.3,47,49,2016,"Fall","II","FINC-442",1,213.653846153846
"107","Personal Leadership Insights","Winter 2017","Vuckovic, Brooke","KACI-461-5 (63)","Winter 2017 Bidding Phase I","KACI","Evanston","Tue 10:30 AM - 12:00 PM",21,1101,10,10,10,"Full-Time",11,0,5.9,5.9,5.7,5.3,5.4,5.4,2.7,9,10,2017,"Winter","I","KACI-461",0.5,186.610169491525
"108","Corporate Innovation and New Ventures","Spring 2016","Earle, Jr., Paul","KIEI-903-0 (30)","Spring 2016 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",8,1101,3,3,3,"Weekend",5,0,5,5.2,5.2,5.2,4.7,5.5,3.8,24,30,2016,"Spring","I","KIEI-903",1,220.2
"109","Corporate Innovation and New Ventures","Spring 2016","DeBiase, Dean","KIEI-903-0 (30)","Spring 2016 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",8,1101,3,3,3,"Weekend",5,0,5,5.1,5.2,5.2,4.7,5.5,3.8,24,30,2016,"Spring","I","KIEI-903",1,220.2
"110","Global Initiatives in Management (GIM)","Winter 2018","Ma, Damien","INTL-473-0 (80)","Winter 2018 Bidding Phase I","INTL","Evanston","Mon 6:30 PM - 9:30 PM",7,1101,5,5,5,"Evening",2,0,4.7,4.2,4.5,4,5.2,4.8,2.1,19,38,2018,"Winter","I","INTL-473",1,234.255319148936
"111","Managerial Leadership","Spring 2018","Kraemer, Harry","KACI-468-0 (70)","Spring 2018 Bidding Phase I","KACI","Chicago","Wed 6:00 PM - 9:00 PM",118,1100,90,90,90,"Evening",28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KACI-468",1,NA
"112","Negotiations Fundamentals","Spring 2017","Finkel, Eli","MORS-472-5 (61)","Spring 2017 Bidding Phase I","MORS","Evanston","Tue 1:30 PM - 4:30 PM",159,1100,32,36,32,"Full-Time",127,0,5.7,5.7,5.8,5.7,4.7,5.4,2.7,34,36,2017,"Spring","I","MORS-472",0.5,192.982456140351
"113","Corporate Innovation and New Ventures","Fall 2016","DeBiase, Dean","KIEI-903-0 (30)","Fall 2016 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",48,1079,22,22,22,"Evening",26,0,4.1,3.1,4.3,4.6,4,4.8,3.7,18,30,2016,"Fall","I","KIEI-903",1,263.170731707317
"114","Corporate Innovation and New Ventures","Fall 2016","Earle, Jr., Paul","KIEI-903-0 (30)","Fall 2016 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",48,1079,22,22,22,"Evening",26,0,4.4,4.6,4.4,4.5,4,4.9,3.7,18,30,2016,"Fall","I","KIEI-903",1,245.227272727273
"115","Personal Leadership Insights","Spring 2017","Murnane, Kevin","KACI-461-5 (63)","Spring 2017 Bidding Phase I","KACI","Evanston","Tue 6:30 PM - 8:00 PM",31,1066,10,10,10,"Full-Time",21,0,5.7,5.7,5.7,5.3,5,5,2.3,3,10,2017,"Spring","I","KACI-461",0.5,187.017543859649
"116","Biomedical Marketing","Spring 2017","Calkins, Timothy","HEMA-914-0 (61)","Spring 2017 Bidding Phase II","HEMA","Evanston","Tue/Fri 10:30 AM - 12:00 PM",16,1063,5,65,5,"Full-Time",11,0,5.4,5.5,5.4,5.1,5.1,5.6,2.5,35,63,2017,"Spring","II","HEMA-914",1,196.851851851852
"117","Product Management for Technology Companies: An Entrepreneurial Perspective","Spring 2017","Sawhney, Mohanbir","KIEI-932-0 (61)","Spring 2017 Bidding Phase II","KIEI","Evanston","Tue/Fri 10:30 AM - 12:00 PM",9,1061,2,65,2,"Full-Time",6,0,4.4,4.4,5,4.6,5.1,5.2,3.1,46,58,2017,"Spring","II","KIEI-932",1,241.136363636364
"118","New Venture Discovery","Fall 2015","Schonthal, David","KIEI-462-0 (62)","Fall 2015 Bidding Phase I","KIEI","Evanston","Thu 1:30 PM - 4:45 PM",57,1055,37,40,37,"Full-Time",20,0,5.3,5.6,5.5,5.4,4.5,5.6,4.3,31,37,2015,"Fall","I","KIEI-462",1,199.056603773585
"119","People Analytics and Strategy","Spring 2017","Friedrich, Benjamin","STRT-440-0 (61)","Spring 2017 Bidding Phase II","STRT","Evanston","Mon/Thu 10:30 AM - 12:00 PM",41,1055,5,65,5,"Full-Time",36,0,3.5,4.1,4.2,4.4,4.3,4.4,3,46,54,2017,"Spring","II","STRT-440",1,301.428571428571
"120","New Venture Discovery","Fall 2015","Dwyer, Joe","KIEI-462-0 (70)","Fall 2015 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",9,1050,5,5,5,"Weekend",4,0,3.4,3.5,3.9,3.4,2.9,3.9,2.4,16,39,2015,"Fall","I","KIEI-462",1,308.823529411765
"121","Global Initiatives in Management (GIM)","Winter 2017","Seitz, Tasha","INTL-473-0 (89)","Winter 2017 Bidding Phase I","INTL","Evanston","Non-Standard Meetings",8,1050,6,6,6,"Evening",2,0,5.6,5.1,5.2,4.7,5.8,5.3,2.7,20,23,2017,"Winter","I","INTL-473",1,187.5
"122","Negotiations","Winter 2018","Medvec, Victoria","MORS-470-0 (70)","Winter 2018 Bidding Phase I","MORS","Chicago","Mon 6:00 PM - 9:00 PM",29,1049,12,12,12,"Weekend",17,0,5.8,5.8,5.9,5.6,4.8,5.6,2.7,66,72,2018,"Winter","I","MORS-470",1,180.862068965517
"123","Negotiations Fundamentals","Spring 2018","Finkel, Eli","MORS-472-5 (62)","Spring 2018 Bidding Phase I","MORS","Evanston","Tue 1:30 PM - 4:30 PM",95,1037,35,36,35,"Full-Time",60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MORS-472",0.5,NA
"124","Personal Leadership Insights","Fall 2016","Ellington Booth, Brenda","KACI-461-5 (62)","Fall 2016 Bidding Phase I","KACI","Evanston","Thu 1:30 PM - 3:00 PM",20,1021,10,10,10,"Full-Time",10,0,5.7,5.9,5.7,5.6,4.7,5.4,3,7,10,2016,"Fall","I","KACI-461",0.5,179.122807017544
"125","Launching and Leading Startups","Spring 2017","Cast, Carter","KIEI-967-0 (80)","Spring 2017 Bidding Phase I","KIEI","Evanston","Tue 1:30 PM - 4:30 PM",81,1018,40,44,40,"Full-Time",41,0,5.7,5.9,5.7,5.6,4.6,5.5,3.2,47,50,2017,"Spring","I","KIEI-967",1,178.59649122807
"126","Personal Leadership Insights","Spring 2016","Vuckovic, Brooke","KACI-461-5 (61)","Spring 2016 Bidding Phase I","KACI","Evanston","Tue 8:30 AM - 10:20 AM",28,1015,10,10,10,"Full-Time",18,0,5.5,5.8,5.7,5.2,4.6,5,2.4,10,10,2016,"Spring","I","KACI-461",0.5,184.545454545455
"127","Global Initiatives in Management (GIM)","Winter 2018","Ma, Damien","INTL-473-0 (80)","Winter 2018 Bidding Phase I","INTL","Evanston","Mon 6:30 PM - 9:30 PM",81,1013,29,33,29,"Full-Time",52,0,4.7,4.2,4.5,4,5.2,4.8,2.1,19,38,2018,"Winter","I","INTL-473",1,215.531914893617
"128","Personal Leadership Insights","Winter 2017","Ellington Booth, Brenda","KACI-461-5 (61)","Winter 2017 Bidding Phase I","KACI","Evanston","Mon 1:30 PM - 3:00 PM",28,1010,10,10,10,"Full-Time",18,0,5.2,4.5,5.3,5,5.2,4.8,2.3,6,10,2017,"Winter","I","KACI-461",0.5,194.230769230769
"129","Personal Leadership Insights","Winter 2016","Carroll, Shana","KACI-461-5 (63)","Winter 2016 Bidding Phase I","KACI","Evanston","Tue 3:10 PM - 5:00 PM",42,1006,10,10,10,"Full-Time",32,0,5.8,5.7,5.9,5.6,5.7,5.8,2.4,9,10,2016,"Winter","I","KACI-461",0.5,173.448275862069
"130","New Venture Discovery","Summer 2015","Schonthal, David","KIEI-462-0 (71)","Summer 2015 Bidding Phase I","KIEI","Chicago","Wed 6:00 PM - 9:00 PM",60,1005,32,32,32,"E&W",28,0,5.3,5.6,5.7,5.6,4.7,5.4,4.2,29,32,2015,"Summer","I","KIEI-462",1,189.622641509434
"131","Selling Yourself and Your Ideas","Spring 2017","Wortmann, Craig","KACI-940-0 (81)","Spring 2017 Bidding Phase I","KACI","Evanston","Tue 6:30 PM - 9:30 PM",19,1005,10,10,10,"Evening",9,0,5.2,5.7,5.5,4.9,4.3,5.1,2.4,61,63,2017,"Spring","I","KACI-940",1,193.269230769231
"132","Customer Analytics","Winter 2018","Zettelmeyer, Florian","MKTG-482-0 (61)","Winter 2018 Bidding Phase I","MKTG","Evanston","Mon/Thu 8:30 AM - 10:00 AM",111,1004,62,65,62,"Full-Time",49,0,5.6,5.8,5.9,5.9,5.2,5.8,3.9,63,65,2018,"Winter","I","MKTG-482",1,179.285714285714
"133","Negotiations","Winter 2018","Medvec, Victoria","MORS-470-0 (70)","Winter 2018 Bidding Phase I","MORS","Chicago","Mon 6:00 PM - 9:00 PM",138,1003,60,60,60,"Evening",78,0,5.8,5.8,5.9,5.6,4.8,5.6,2.7,66,72,2018,"Winter","I","MORS-470",1,172.931034482759
"134","Persuasive Presentations","Spring 2018","Van Camp, Karen","KACI-450-0 (81)","Spring 2018 Bidding Phase I","KACI","Evanston","Tue 6:30 PM - 9:30 PM",7,1003,5,5,5,"Evening",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KACI-450",1,NA
"135","Launching and Leading Startups","Spring 2018","Cast, Carter","KIEI-967-0 (70)","Spring 2018 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",13,1003,7,7,7,"Weekend",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KIEI-967",1,NA
"136","Medical Technology Financing and Commercialization","Winter 2018","Arnold, Katie","KIEI-911-0 (80)","Winter 2018 Bidding Phase I","KIEI","Evanston","Fri 1:30 PM - 4:30 PM",2,1003,2,2,2,"Evening",0,0,5.4,5.5,5.4,5.2,5,5.7,3,26,32,2018,"Winter","I","KIEI-911",1,185.740740740741
"137","Medical Technology Financing and Commercialization","Winter 2018","Norton, Evan","KIEI-911-0 (80)","Winter 2018 Bidding Phase I","KIEI","Evanston","Fri 1:30 PM - 4:30 PM",2,1003,2,2,2,"Evening",0,0,5.2,5.5,5.4,5.2,5,5.7,3,26,32,2018,"Winter","I","KIEI-911",1,192.884615384615
"138","Personal Leadership Insights","Spring 2016","Vuckovic, Brooke","KACI-461-5 (63)","Spring 2016 Bidding Phase I","KACI","Evanston","Tue 3:10 PM - 5:00 PM",23,1003,10,10,10,"Full-Time",13,0,5.6,5.8,5.5,5.4,4.9,4.8,2.3,10,10,2016,"Spring","I","KACI-461",0.5,179.107142857143
"139","Personal Leadership Insights","Spring 2016","Murnane, Kevin","KACI-461-5 (91)","Spring 2016 Bidding Phase I","KACI","Evanston","Tue 6:30 PM - 8:20 PM",37,1001,10,10,10,"Full-Time",27,0,5.6,5.8,5.6,5.1,4.9,5.4,2.6,8,10,2016,"Spring","I","KACI-461",0.5,178.75
"140","Managerial Leadership","Fall 2015","Kraemer, Harry","KACI-468-0 (91)","Fall 2015 Bidding Phase II","KACI","Evanston","Wed 6:30 PM - 9:30 PM",43,1001,2,65,2,"Full-Time",41,0,4.7,5,4.8,4.3,4.3,5,1.9,55,69,2015,"Fall","II","KACI-468",1,212.978723404255
"141","Medical Technology Financing and Commercialization","Winter 2017","Arnold, Katie","KIEI-911-0 (80)","Winter 2017 Bidding Phase I","KIEI","Evanston","Fri 1:30 PM - 4:30 PM",2,1001,2,2,2,"Weekend",0,0,5.3,5.4,5.4,5.1,5.1,5.6,3,16,19,2017,"Winter","I","KIEI-911",1,188.867924528302
"142","Medical Technology Financing and Commercialization","Winter 2017","Norton, Evan","KIEI-911-0 (80)","Winter 2017 Bidding Phase I","KIEI","Evanston","Fri 1:30 PM - 4:30 PM",2,1001,2,2,2,"Weekend",0,0,5.3,5.4,5.4,5.1,5.1,5.6,3.1,16,19,2017,"Winter","I","KIEI-911",1,188.867924528302
"143","Entrepreneurial Tools for Digital Marketing","Winter 2018","Johnson, Sean","MKTG-961-5 (81)","Winter 2018 Bidding Phase II","MKTG","Evanston","Thu 6:30 PM - 9:30 PM",21,1001,1,60,1,"Full-Time",20,0,4.6,4.9,5,4.4,4,5.3,2.4,40,47,2018,"Winter","II","MKTG-961",0.5,217.608695652174
"144","Leading and Managing Teams","Winter 2018","Kouchaki, Maryam","MORS-460-0 (70)","Winter 2018 Bidding Phase I","MORS","Chicago","Sat 9:00 AM - 12:00 PM",15,1000,4,4,4,"Evening",10,0,4.5,4.8,5.1,4.5,4.7,4.4,2.7,35,40,2018,"Winter","I","MORS-460",1,222.222222222222
"145","Persuasive Presentations","Winter 2018","Van Camp, Karen","KACI-450-0 (81)","Winter 2018 Bidding Phase I","KACI","Evanston","Tue 6:30 PM - 9:30 PM",14,1000,5,5,5,"Evening",9,0,5.1,5.5,5.2,5,4.8,5,2.5,26,36,2018,"Winter","I","KACI-450",1,196.078431372549
"146","Growth Strategy Practicum","Winter 2018","O'Connor, Karin","KIEI-915-0 (80)","Winter 2018 Bidding Phase I","KIEI","Evanston","Fri 1:30 PM - 4:30 PM",5,1000,3,3,3,"Weekend",2,0,4.6,5,4.7,4.9,3.9,5.3,3.3,22,29,2018,"Winter","I","KIEI-915",1,217.391304347826
"147","Negotiations Fundamentals","Fall 2017","Kteily, Nour","MORS-472-5 (61)","Fall 2017 Bidding Phase I","MORS","Evanston","Tue 1:30 PM - 4:30 PM",85,1000,32,36,32,"Full-Time",53,0,5.7,5.8,5.8,5.7,4.8,5.5,2.7,34,36,2017,"Fall","I","MORS-472",0.5,175.438596491228
"148","International Finance","Fall 2017","Rebelo, Sergio","FINC-470-0 (61)","Fall 2017 Bidding Phase II","FINC","Evanston","Mon/Thu 1:30 PM - 3:00 PM",26,1000,1,65,1,"Full-Time",25,0,5.5,5.8,5.6,5.3,5.9,5.9,2.7,44,65,2017,"Fall","II","FINC-470",1,181.818181818182
"149","Personal Leadership Insights","Fall 2017","Ellington Booth, Brenda","KACI-461-5 (62)","Fall 2017 Bidding Phase I","KACI","Evanston","Mon 3:30 PM - 5:00 PM",26,1000,10,10,10,"Full-Time",16,0,5.6,5.7,5.7,5.1,4.7,5,2.6,10,10,2017,"Fall","I","KACI-461",0.5,178.571428571429
"150","Introduction to Software Development","Fall 2017","Eng, Brian","KIEI-924-0 (80)","Fall 2017 Bidding Phase I","KIEI","Evanston","Fri 1:30 PM - 4:30 PM",3,1000,3,3,3,"Weekend",0,0,4.8,5,5.1,5.1,4.6,5,3.4,28,39,2017,"Fall","I","KIEI-924",1,208.333333333333
"151","Decision Making and Modeling","Fall 2017","Al-Najjar, Nabil","MECN-451-0 (62)","Fall 2017 Bidding Phase II","MECN","Evanston","Mon/Thu 3:30 PM - 5:00 PM",40,1000,1,50,1,"Full-Time",39,0,4.2,4.3,4.8,4.8,4.1,4.3,3,36,43,2017,"Fall","II","MECN-451",1,238.095238095238
"152","Digital Marketing Analytics","Winter 2017","Cutler, Jennifer","MKTG-955-0 (70)","Winter 2017 Bidding Phase II","MKTG","Chicago","Mon 6:00 PM - 9:00 PM",4,1000,1,7,1,"Weekend",3,0,4.5,4.6,5,4.9,4.3,4.8,3.1,43,48,2017,"Winter","II","MKTG-955",1,222.222222222222
"153","Customer Analytics","Winter 2017","Zettelmeyer, Florian","MKTG-953-0 (62)","Winter 2017 Bidding Phase I","MKTG","Evanston","Mon/Thu 10:30 AM - 12:00 PM",127,1000,61,65,61,"Full-Time",66,0,5.5,5.9,5.7,5.8,5,5.7,3.8,58,65,2017,"Winter","I","MKTG-953",1,181.818181818182
"154","Negotiations Fundamentals","Winter 2017","Finkel, Eli","MORS-472-5 (80)","Winter 2017 Bidding Phase I","MORS","Evanston","Fri 1:30 PM - 4:30 PM",3,1000,2,2,2,"Weekend",1,0,5.5,5.6,5.7,5.4,4.7,5.3,2.9,32,36,2017,"Winter","I","MORS-472",0.5,181.818181818182
"155","Applied Real Estate Finance and Investments","Spring 2017","Furfine, Craig","FINC-455-0 (81)","Spring 2017 Bidding Phase II","FINC","Evanston","Tue 6:30 PM - 9:30 PM",1,1000,1,8,1,"Evening",0,0,5.3,5.7,5.7,5.7,5.4,5.6,4,19,22,2017,"Spring","II","FINC-455",1,188.679245283019
"156","Financial Decisions","Spring 2017","Iverson, Benjamin","FINC-442-0 (61)","Spring 2017 Bidding Phase II","FINC","Evanston","Mon/Thu 10:30 AM - 12:00 PM",3,1000,1,50,1,"Full-Time",1,0,5.4,5.4,5.5,5.7,4.7,5.5,4.3,41,43,2017,"Spring","II","FINC-442",1,185.185185185185
"157","Corporate Innovation and New Ventures","Spring 2017","DeBiase, Dean","KIEI-903-0 (30)","Spring 2017 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",5,1000,4,5,4,"Full-Time",1,0,5.2,4.8,5.1,5.3,5,5.5,3.6,22,27,2017,"Spring","I","KIEI-903",1,192.307692307692
"158","Corporate Innovation and New Ventures","Spring 2017","Earle, Jr., Paul","KIEI-903-0 (30)","Spring 2017 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",5,1000,4,5,4,"Full-Time",1,0,5.4,5.1,5.1,5.3,5,5.4,3.6,22,27,2017,"Spring","I","KIEI-903",1,185.185185185185
"159","Persuasive Presentations","Spring 2017","Van Camp, Karen","KACI-450-0 (76)","Spring 2017 Bidding Phase II","KACI","Chicago","Sat 9:00 AM - 12:00 PM",2,1000,2,36,2,"Weekend",0,0,5.2,5.4,5.6,5.2,4.8,5.3,2.6,25,36,2017,"Spring","II","KACI-450",1,192.307692307692
"160","Corporate Innovation and New Ventures","Spring 2017","DeBiase, Dean","KIEI-903-0 (30)","Spring 2017 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",29,1000,23,23,23,"Evening",6,0,5.2,4.8,5.1,5.3,5,5.5,3.6,22,27,2017,"Spring","I","KIEI-903",1,192.307692307692
"161","Corporate Innovation and New Ventures","Spring 2017","Earle, Jr., Paul","KIEI-903-0 (30)","Spring 2017 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",29,1000,23,23,23,"Evening",6,0,5.4,5.1,5.1,5.3,5,5.4,3.6,22,27,2017,"Spring","I","KIEI-903",1,185.185185185185
"162","Entrepreneurship Through Acquisition","Winter 2017","Schneider, Alexander","KIEI-905-5 (81)","Winter 2017 Bidding Phase I","KIEI","Evanston","Wed 6:30 PM - 9:30 PM",20,1000,8,8,8,"Evening",12,0,5.1,4.9,5.3,5,3.8,5.5,2.9,40,59,2017,"Winter","I","KIEI-905",0.5,196.078431372549
"163","Finance II","Winter 2017","Matsa, David","FINC-431-0 (62)","Winter 2017 Bidding Phase II","FINC","Evanston","Mon/Thu 3:30 PM - 5:00 PM",15,1000,1,50,1,"Full-Time",14,0,5.2,5.6,5.4,5.3,5,5.5,3.2,39,42,2017,"Winter","II","FINC-431",1,192.307692307692
"164","Strategy Implementation","Fall 2016","Smith, Edward (Ned)","MORS-455-0 (62)","Fall 2016 Bidding Phase II","MORS","Evanston","Tue/Fri 1:30 PM - 3:00 PM",36,1000,3,50,3,"Full-Time",33,0,4.7,5.2,4.7,4.7,4.6,5.2,2.2,40,47,2016,"Fall","II","MORS-455",1,212.765957446808
"165","Decision Making and Modeling","Fall 2016","Al-Najjar, Nabil","DECS-450-0 (81)","Fall 2016 Bidding Phase II","DECS","Evanston","Thu 6:30 PM - 9:30 PM",31,1000,2,55,2,"Full-Time",29,0,4.7,5,5.1,5.3,4.7,5.1,3.5,51,56,2016,"Fall","II","DECS-450",1,212.765957446808
